,Start,End
104,2019-12-29 13:39:06.818494,2019-12-29 13:39:06.898283
105,2019-12-29 13:39:06.939173,2019-12-29 13:39:06.948149
106,2019-12-29 13:39:06.977070,2019-12-29 13:39:07.026937
107,2019-12-29 13:39:07.033920,2019-12-29 13:39:07.073811
108,2019-12-29 13:39:07.122685,2019-12-29 13:39:07.128663
109,2019-12-29 13:39:07.185512,2019-12-29 13:39:07.194487
110,2019-12-29 13:39:07.234383,2019-12-29 13:39:07.282253
111,2019-12-29 13:39:07.330126,2019-12-29 13:39:07.337106
112,2019-12-29 13:39:07.387971,2019-12-29 13:39:07.434847
113,2019-12-29 13:39:07.442825,2019-12-29 13:39:07.473741
114,2019-12-29 13:39:07.522610,2019-12-29 13:39:07.528595
115,2019-12-29 13:39:07.571481,2019-12-29 13:39:07.577464
116,2019-12-29 13:39:07.652267,2019-12-29 13:39:07.688168
117,2019-12-29 13:39:07.735042,2019-12-29 13:39:07.744019
118,2019-12-29 13:39:07.783917,2019-12-29 13:39:07.831785
119,2019-12-29 13:39:07.839763,2019-12-29 13:39:07.876665
120,2019-12-29 13:39:07.928526,2019-12-29 13:39:07.938499
121,2019-12-29 13:39:07.991357,2019-12-29 13:39:08.002328
122,2019-12-29 13:39:08.038232,2019-12-29 13:39:08.087102
123,2019-12-29 13:39:08.135972,2019-12-29 13:39:08.145944
124,2019-12-29 13:39:08.183843,2019-12-29 13:39:08.225731
125,2019-12-29 13:39:08.234706,2019-12-29 13:39:08.274599
126,2019-12-29 13:39:08.281583,2019-12-29 13:39:08.320475
127,2019-12-29 13:39:08.406247,2019-12-29 13:39:08.421208
128,2019-12-29 13:39:08.437164,2019-12-29 13:39:08.483041
129,2019-12-29 13:39:08.532909,2019-12-29 13:39:08.538892
130,2019-12-29 13:39:08.585767,2019-12-29 13:39:08.632642
131,2019-12-29 13:39:08.639623,2019-12-29 13:39:08.679516
132,2019-12-29 13:39:08.687494,2019-12-29 13:39:08.752320
133,2019-12-29 13:39:08.793212,2019-12-29 13:39:08.801191
134,2019-12-29 13:39:08.834101,2019-12-29 13:39:08.900926
135,2019-12-29 13:39:08.932839,2019-12-29 13:39:08.938822
136,2019-12-29 13:39:08.978714,2019-12-29 13:39:09.028582
137,2019-12-29 13:39:09.034565,2019-12-29 13:39:09.075457
138,2019-12-29 13:39:09.084434,2019-12-29 13:39:09.138289
139,2019-12-29 13:39:09.204114,2019-12-29 13:39:09.213088
140,2019-12-29 13:39:09.237024,2019-12-29 13:39:09.281905
141,2019-12-29 13:39:09.346731,2019-12-29 13:39:09.354710
142,2019-12-29 13:39:09.378645,2019-12-29 13:39:09.442474
143,2019-12-29 13:39:09.451451,2019-12-29 13:39:09.493338
144,2019-12-29 13:39:09.501316,2019-12-29 13:39:09.537222
145,2019-12-29 13:39:09.586091,2019-12-29 13:39:09.592074
146,2019-12-29 13:39:09.646933,2019-12-29 13:39:09.682831
147,2019-12-29 13:39:09.743669,2019-12-29 13:39:09.751648
148,2019-12-29 13:39:09.779572,2019-12-29 13:39:09.785556
149,2019-12-29 13:39:09.824452,2019-12-29 13:39:09.911223
150,2019-12-29 13:39:09.923188,2019-12-29 13:39:09.941140
151,2019-12-29 13:39:09.988015,2019-12-29 13:39:09.994996
152,2019-12-29 13:39:10.031905,2019-12-29 13:39:10.094731
153,2019-12-29 13:39:10.131634,2019-12-29 13:39:10.137615
154,2019-12-29 13:39:10.178505,2019-12-29 13:39:10.185487
155,2019-12-29 13:39:10.255300,2019-12-29 13:39:10.299183
156,2019-12-29 13:39:10.308160,2019-12-29 13:39:10.337080
157,2019-12-29 13:39:10.403903,2019-12-29 13:39:10.410885
158,2019-12-29 13:39:10.452771,2019-12-29 13:39:10.537545
159,2019-12-29 13:39:10.546522,2019-12-29 13:39:10.577438
160,2019-12-29 13:39:10.583422,2019-12-29 13:39:10.676176
161,2019-12-29 13:39:10.684153,2019-12-29 13:39:10.723048
162,2019-12-29 13:39:10.729032,2019-12-29 13:39:10.806827
163,2019-12-29 13:39:10.819793,2019-12-29 13:39:10.852703
164,2019-12-29 13:39:10.916532,2019-12-29 13:39:10.924510
165,2019-12-29 13:39:11.015269,2019-12-29 13:39:11.028235
166,2019-12-29 13:39:11.061144,2019-12-29 13:39:11.067128
167,2019-12-29 13:39:11.124973,2019-12-29 13:39:11.131957
168,2019-12-29 13:39:11.188803,2019-12-29 13:39:11.194786
169,2019-12-29 13:39:11.265599,2019-12-29 13:39:11.332423
170,2019-12-29 13:39:11.339400,2019-12-29 13:39:11.405227
171,2019-12-29 13:39:11.421184,2019-12-29 13:39:11.460076
172,2019-12-29 13:39:11.467057,2019-12-29 13:39:11.525902
173,2019-12-29 13:39:11.534877,2019-12-29 13:39:11.604691
174,2019-12-29 13:39:11.611671,2019-12-29 13:39:11.654557
175,2019-12-29 13:39:11.661537,2019-12-29 13:39:11.730355
176,2019-12-29 13:39:11.741326,2019-12-29 13:39:11.812135
177,2019-12-29 13:39:11.818120,2019-12-29 13:39:11.861005
178,2019-12-29 13:39:11.866988,2019-12-29 13:39:11.937801
179,2019-12-29 13:39:11.947775,2019-12-29 13:39:11.987665
180,2019-12-29 13:39:11.993649,2019-12-29 13:39:12.050497
181,2019-12-29 13:39:12.056481,2019-12-29 13:39:12.146242
182,2019-12-29 13:39:12.154220,2019-12-29 13:39:12.195110
183,2019-12-29 13:39:12.200096,2019-12-29 13:39:12.278901
184,2019-12-29 13:39:12.291851,2019-12-29 13:39:12.324764
185,2019-12-29 13:39:12.331748,2019-12-29 13:39:12.390588
186,2019-12-29 13:39:12.396571,2019-12-29 13:39:12.468382
187,2019-12-29 13:39:12.475362,2019-12-29 13:39:12.532209
188,2019-12-29 13:39:12.538193,2019-12-29 13:39:12.597036
189,2019-12-29 13:39:12.604017,2019-12-29 13:39:12.671838
190,2019-12-29 13:39:12.684803,2019-12-29 13:39:12.726688
191,2019-12-29 13:39:12.734667,2019-12-29 13:39:12.802485
192,2019-12-29 13:39:12.809466,2019-12-29 13:39:12.855346
193,2019-12-29 13:39:12.861328,2019-12-29 13:39:12.946103
194,2019-12-29 13:39:12.954080,2019-12-29 13:39:12.995969
195,2019-12-29 13:39:13.001952,2019-12-29 13:39:13.073759
196,2019-12-29 13:39:13.083748,2019-12-29 13:39:13.128614
